iteration,spent_time
8,1.85396695137
1,2.09849190712
3,3.05894899368
5,3.13671898842
4,3.95806598663
2,4.46150183678
7,5.00336503983
6,5.61020588875
9,6.17189788818
18,7.01478099823
13,7.52311515808
10,8.12684798241
36,8.54886388779
11,9.42608189583
12,10.0159058571
24,10.4384188652
23,11.0568459034
19,11.6181550026
20,12.1375620365
17,12.772796154
16,13.366476059
15,13.8916108608
25,14.3980510235
30,15.2756779194
29,15.8958809376
28,16.5437049866
26,17.2849328518
14,17.9382121563
21,18.3933479786
31,18.7408070564
27,19.4870359898
32,20.407086134
22,21.2366809845
33,21.5528409481
44,22.0309998989
34,22.7099649906
41,23.2877528667
43,23.7807281017
38,24.3901979923
40,24.9670488834
35,26.2452440262
42,27.0402889252
39,27.6386799812
37,28.2862448692
45,28.9863519669
46,30.1664459705
47,30.6311130524
54,32.061756134
48,32.8500418663
49,32.8476669788
50,33.6510121822
51,34.2477519512
53,34.7571380138
59,35.3143131733
56,35.9580779076
60,36.4933521748
62,37.1502799988
52,37.8422501087
55,38.3964850903
65,38.9435269833
57,39.7063989639
58,40.1652081013
63,40.662003994
66,41.1422920227
61,41.8474860191
64,42.3913099766
74,42.737639904
67,43.4923889637
72,43.8972151279
68,44.7635879517
76,44.8641970158
73,45.6900839806
75,46.1183161736
78,46.6644389629
79,47.2509179115
69,48.2023379803
77,48.7429049015
71,49.4652249813
70,50.0676670074
86,50.3152649403
82,51.0552821159
85,51.5230960846
80,52.2549479008
81,53.2745029926
83,53.566562891
84,54.1852688789
90,54.6879439354
87,55.2032690048
92,55.9278569221
94,56.4657020569
89,57.2686429024
95,57.6861591339
98,58.7267091274
93,59.4350650311
96,59.8719701767
88,60.6438307762
91,61.1644799709
97,61.6043729782
99,62.2261178493
100,62.7309858799
101,62.8216300011
102,63.8706088066
103,63.6059699059
104,64.0954627991
105,63.9074399471
106,64.071352005
107,64.0126521587
108,64.1064112186
109,64.1680669785
110,63.7803149223
111,64.0194959641
112,63.9091489315
113,63.8275358677
